"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.135832600E-1,6.505444210E1,2.545720930E1,1.571617599E1,NaN,NaN,7.180699921E1,2.472832918E0
2.272297551E0,6.505433470E1,2.545646217E1,3.589608159E1,8.299999833E-1,3.209999847E1,6.203547478E0,1.010097408E1
2.931801822E0,6.505433894E1,2.545646848E1,3.594216215E1,8.299999833E-1,3.209999847E1,6.398552418E0,1.010097408E1
3.931527447E0,6.505416825E1,2.545645140E1,-3.369296350E0,8.700000048E-1,2.850000000E1,4.514050007E0,5.992606640E0
4.670516613E0,6.505420194E1,2.545644452E1,-3.145006865E-1,8.100000024E-1,2.839999962E1,3.790092468E0,4.487350941E0
5.670404946E0,6.505425083E1,2.545648877E1,5.211424834E0,8.600000143E-1,1.310000038E1,3.790092468E0,3.660993099E0
6.670864268E0,6.505426530E1,2.545649393E1,7.204644821E0,8.700000048E-1,8.899999619E0,3.790092468E0,3.625859022E0
7.670075674E0,6.505427879E1,2.545649637E1,8.914051426E0,7.799999714E-1,8.000000119E-1,3.790092468E0,3.270040274E0
8.670698538E0,6.505429076E1,2.545649542E1,8.202742933E0,8.999999762E-1,3.557000122E2,3.790092468E0,2.931118727E0
9.670310517E0,6.505430433E1,2.545649800E1,9.764444443E0,8.199999928E-1,5.000000000E0,3.790092468E0,2.593126535E0
1.067054395E1,6.505431603E1,2.545650398E1,1.005130574E1,8.000000119E-1,1.039999962E1,3.790092468E0,2.500000000E0
1.167093093E1,6.505432689E1,2.545650618E1,1.068863083E1,7.200000286E-1,3.546000061E2,3.790092468E0,2.500000000E0
1.267080317E1,6.505433575E1,2.545650347E1,1.094912512E1,7.099999785E-1,3.447000122E2,3.790092468E0,2.500000000E0
1.367007338E1,6.505434714E1,2.545650220E1,1.129299260E1,9.300000072E-1,3.590000000E2,3.790092468E0,2.500000000E0
